11:50 PM | MSG | Starting ...
11:50 PM | MSG | Loading info ...
11:50 PM | MSG | Connecting ...
11:50 PM | MSG | Connected, setting up ...
11:50 PM | MSG | Setup finished.
11:50 PM | MSG | Bot is ready.
11:50 PM | MSG | Starting ...
11:50 PM | MSG | Loading info ...
11:50 PM | MSG | Connecting ...
11:50 PM | MSG | Connected, setting up ...
11:50 PM | MSG | Setup finished.
11:50 PM | MSG | Bot is ready.
11:51 PM | COMMAND | The Dragon Guardian has sent: !setplayer <@301831226984103946> SilverShroud
11:55 PM | UPDATE | Update has news.
12:00 AM | UPDATE | Update has no news.
12:05 AM | UPDATE | Update has no news.
12:10 AM | UPDATE | Update has no news.
12:15 AM | UPDATE | Update has no news.
12:20 AM | UPDATE | Update has no news.
12:25 AM | UPDATE | Update has no news.
12:30 AM | UPDATE | Update has no news.
12:35 AM | UPDATE | Update has no news.
12:40 AM | UPDATE | Update has no news.
12:45 AM | UPDATE | Update has no news.
12:50 AM | UPDATE | Update has no news.
12:55 AM | UPDATE | Update has no news.
12:57 AM | COMMAND | exit
12:57 AM | MSG | Bot is closing ...
12:57 AM | MSG | Bot is closed.
